epoch,neuron1_bias,neuron2_bias,neuron3_bias,neuron4_bias,neuron5_bias,neuron6_bias,neuron7_bias,neuron8_bias,neuron9_bias,neuron10_bias,neuron11_bias,neuron12_bias,neuron13_bias,neuron14_bias,neuron15_bias,neuron16_bias,neuron17_bias,neuron18_bias,neuron19_bias,neuron20_bias,neuron21_bias,neuron22_bias,neuron23_bias,neuron24_bias,neuron25_bias,neuron26_bias,neuron27_bias,neuron28_bias,neuron29_bias,neuron30_bias,neuron31_bias,neuron32_bias,neuron33_bias,neuron34_bias,neuron35_bias,neuron36_bias,neuron37_bias,neuron38_bias,neuron39_bias,neuron40_bias,neuron41_bias,neuron42_bias,neuron43_bias,neuron44_bias,neuron45_bias,neuron46_bias,neuron47_bias,neuron48_bias,neuron49_bias,neuron50_bias,neuron51_bias,neuron52_bias,neuron53_bias,neuron54_bias,neuron55_bias,neuron56_bias,neuron57_bias,neuron58_bias,neuron59_bias,neuron60_bias,neuron61_bias,neuron62_bias,neuron63_bias,neuron64_bias
32,0.037842,0.029078,0.023492,-0.000000,-0.012948,-0.000000,-0.010895,0.027328,-0.000000,-0.000000,0.033839,-0.031061,-0.000000,-0.000000,0.024173,-0.048973,0.028623,0.026901,-0.000000,0.011528,0.034342,0.028278,0.015514,0.016960,-0.026597,-0.020533,0.030521,0.027406,0.027079,0.024739,0.026210,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.031490,-0.033881,0.014264,0.030781,-0.000002,0.014484,0.018874,-0.018794,-0.000000,0.017734,0.022326,-0.000010,0.029825,-0.000000,0.026670,-0.000000,0.030187,0.027403,0.031990,0.017381,-0.000000,-0.043888,0.024817,0.017763,-0.000000,-0.025036,0.015721
33,0.027339,0.026044,0.025986,-0.000000,-0.012948,-0.000000,-0.010895,0.027604,-0.000000,-0.000000,0.031732,-0.031061,-0.000000,-0.000000,0.023147,-0.048973,0.029973,0.030884,-0.000000,0.012428,0.030700,0.031826,0.015165,0.013126,-0.026597,-0.020533,0.030215,0.029960,0.025980,0.031276,0.030335,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.030002,-0.033881,0.015326,0.028570,-0.000002,0.017731,0.013426,-0.018794,-0.000000,0.015936,0.027461,-0.000010,0.029407,-0.000000,0.031636,-0.000000,0.029259,0.023511,0.030894,0.013648,-0.000000,-0.043888,0.021119,0.014365,-0.000000,-0.025036,0.013605
34,0.024812,0.028669,0.024030,-0.000000,-0.012948,-0.000000,-0.010895,0.025851,-0.000000,-0.000000,0.029506,-0.031061,-0.000000,-0.000000,0.018055,-0.048973,0.025066,0.034217,-0.000000,0.007180,0.027290,0.029763,0.016012,0.017947,-0.026597,-0.020533,0.037264,0.023102,0.022094,0.028805,0.032100,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.034506,-0.033881,0.013806,0.030132,-0.000002,0.019092,0.009960,-0.018794,-0.000000,0.015440,0.020595,-0.000010,0.025719,-0.000000,0.028540,-0.000000,0.020264,0.025074,0.028589,0.012803,-0.000000,-0.043888,0.022493,0.017060,-0.000000,-0.025036,0.014278
35,0.020163,0.031631,0.028004,-0.000000,-0.012948,-0.000000,-0.010895,0.023545,-0.000000,-0.000000,0.030246,-0.031061,-0.000000,-0.000000,0.020574,-0.048973,0.032279,0.031791,-0.000000,0.011649,0.033406,0.027646,0.011926,0.015096,-0.026597,-0.020533,0.035002,0.028875,0.031228,0.024661,0.029691,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.035960,-0.033881,0.006102,0.026451,-0.000002,0.010428,0.008260,-0.018794,-0.000000,0.015388,0.026326,-0.000010,0.025736,-0.000000,0.025460,-0.000000,0.027585,0.027091,0.030710,0.015853,-0.000000,-0.043888,0.025683,0.017330,-0.000000,-0.025036,0.008280
36,0.019567,0.025555,0.028380,-0.000000,-0.012948,-0.000000,-0.010895,0.028157,-0.000000,-0.000000,0.032113,-0.031061,-0.000000,-0.000000,0.024876,-0.048973,0.032515,0.024611,-0.000000,0.014951,0.031745,0.027086,0.012157,0.016365,-0.026597,-0.020533,0.026641,0.027099,0.031811,0.023793,0.027839,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.029396,-0.033881,0.007442,0.030574,-0.000002,0.014193,0.010628,-0.018794,-0.000000,0.021534,0.034711,-0.000010,0.025612,-0.000000,0.028580,-0.000000,0.029458,0.026173,0.028253,0.010750,-0.000000,-0.043888,0.025673,0.011710,-0.000000,-0.025036,0.011219
37,0.027588,0.025117,0.025323,-0.000000,-0.012948,-0.000000,-0.010895,0.026076,-0.000000,-0.000000,0.028852,-0.031061,-0.000000,-0.000000,0.029742,-0.048973,0.033981,0.028268,-0.000000,0.011702,0.029896,0.024872,0.010013,0.012084,-0.026597,-0.020533,0.028612,0.033368,0.028043,0.030932,0.031909,-0.000000,-0.019140,-0.000000,-0.000000,-0.000000,-0.041386,0.029344,-0.033881,0.006486,0.029894,-0.000002,0.014964,0.008286,-0.018794,-0.000000,0.014262,0.025924,-0.000010,0.028347,-0.000000,0.025700,-0.000000,0.024008,0.028604,0.032661,0.014085,-0.000000,-0.043888,0.024942,0.012642,-0.000000,-0.025036,0.010056
38,0.025936,0.024695,0.025631,-0.000000,-0.012948,-0.000000,-0.010895,0.023672,-0.000000,-0.000000,0.024122,-0.031061,-0.000000,-0.000000,0.021446,-0.048973,0.028288,0.029514,-0.000000,0.013842,0.028337,0.022776,0.008415,0.012203,-0.026597,-0.020533,0.023958,0.024969,0.028090,0.028473,0.029258,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.026052,-0.033881,0.009418,0.025297,-0.000002,0.013950,0.011749,-0.018794,-0.000000,0.008806,0.022766,-0.000010,0.023067,-0.000000,0.024936,-0.030794,0.028594,0.023951,0.032546,0.008694,-0.000000,-0.043888,0.026651,0.013133,-0.000000,-0.025036,0.012077
39,0.027552,0.023964,0.020479,-0.000000,-0.012948,-0.000000,-0.010895,0.027675,-0.000000,-0.000000,0.026048,-0.031061,-0.000000,-0.000000,0.021077,-0.048973,0.032689,0.023134,-0.000000,0.013123,0.024115,0.028814,0.010945,0.010972,-0.026597,-0.020533,0.021073,0.032840,0.029595,0.027436,0.025096,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.025475,-0.033881,0.014802,0.028418,-0.000002,0.008478,0.006731,-0.018794,-0.000000,0.012258,0.023940,-0.000010,0.024823,-0.000000,0.027568,-0.030794,0.022008,0.022911,0.022219,0.011133,-0.000000,-0.043888,0.028818,0.016398,-0.000000,-0.025036,0.014646
40,0.023753,0.025801,0.025528,-0.000000,-0.012948,-0.000000,-0.010895,0.025044,-0.000000,-0.000000,0.023544,-0.031061,-0.000000,-0.000000,0.022356,-0.048973,0.031759,0.024231,-0.000000,0.010453,0.024498,0.027463,0.011664,0.011710,-0.026597,-0.020533,0.025299,0.027333,0.027890,0.021693,0.022870,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.027804,-0.033881,0.014298,0.030292,-0.000002,0.009905,0.006879,-0.018794,-0.000000,0.011912,0.027651,-0.000010,0.024612,-0.000000,0.023495,-0.030794,0.024045,0.022893,0.027766,0.010691,-0.000000,-0.043888,0.028558,0.016702,-0.000000,-0.025036,0.009107
41,0.024651,0.019649,0.022888,-0.000000,-0.012948,-0.000000,-0.010895,0.026118,-0.000000,-0.000000,0.027051,-0.031061,-0.000000,-0.000000,0.028859,-0.048973,0.027499,0.036039,-0.000000,0.009920,0.028819,0.024991,0.008640,0.008386,-0.026597,-0.020533,0.033715,0.022078,0.031394,0.024285,0.023476,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.022942,-0.033881,0.016418,0.026861,-0.000002,0.007709,0.004982,-0.018794,-0.000000,0.008247,0.022796,-0.000010,0.026762,-0.000000,0.018838,-0.030794,0.028687,0.017255,0.023522,0.009938,-0.000000,-0.043888,0.032803,0.014199,-0.000000,-0.025036,0.014044
42,0.022855,0.021668,0.019781,-0.000000,-0.012948,-0.000000,-0.010895,0.028238,-0.000000,-0.000000,0.022779,-0.031061,-0.000000,-0.000000,0.031908,-0.048973,0.023655,0.032166,-0.000000,0.010163,0.027700,0.025737,0.015124,0.013266,-0.026597,-0.020533,0.024479,0.025226,0.026610,0.023010,0.026458,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.024020,-0.033881,0.015499,0.031335,-0.000002,0.008632,0.005923,-0.018794,-0.000000,0.009420,0.019389,-0.000010,0.028917,-0.000000,0.023439,-0.030794,0.021947,0.025953,0.025720,0.014613,-0.000000,-0.043888,0.028110,0.012650,-0.000000,-0.025036,0.011873
43,0.021222,0.021055,0.016944,-0.000000,-0.012948,-0.000000,-0.010895,0.023446,-0.000000,-0.000000,0.023207,-0.031061,-0.000000,-0.000000,0.027422,-0.048973,0.024276,0.025987,-0.000000,0.017574,0.018635,0.022960,0.015087,0.011650,-0.026597,-0.020533,0.023184,0.019876,0.024450,0.018708,0.026102,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.023298,-0.033881,0.012434,0.025741,-0.000002,0.008605,0.004084,-0.018794,-0.000000,0.007106,0.021514,-0.000010,0.029651,-0.000000,0.021099,-0.030794,0.020769,0.023611,0.028356,0.011399,-0.000000,-0.043888,0.025385,0.011487,-0.000000,-0.025036,0.012253
44,0.022744,0.026184,0.018972,-0.000000,-0.012948,-0.000000,-0.010895,0.026986,-0.000000,-0.000000,0.025249,-0.031061,-0.000000,-0.000000,0.020632,-0.048973,0.029468,0.022625,-0.000000,0.009861,0.024303,0.026288,0.011672,0.011917,-0.026597,-0.020533,0.024460,0.028194,0.028828,0.016103,0.020164,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.022822,-0.033881,0.009051,0.026479,-0.000002,0.010263,0.001472,-0.018794,-0.000000,0.011279,0.024253,-0.000010,0.033148,-0.000000,0.022100,-0.030794,0.025149,0.023725,0.026850,0.009837,-0.000000,-0.043888,0.026218,0.015021,-0.000000,-0.025036,0.017112
45,0.022420,0.020876,0.023369,-0.000000,-0.012948,-0.000000,-0.010895,0.021390,-0.000000,-0.000000,0.025014,-0.031061,-0.000000,-0.000000,0.027952,-0.048973,0.023819,0.021103,-0.000000,0.008083,0.022717,0.025376,0.008543,0.008284,-0.026597,-0.020533,0.025244,0.027297,0.026449,0.021650,0.022466,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.020914,-0.033881,0.010778,0.029522,-0.000002,0.007737,0.000053,-0.018794,-0.000000,0.009517,0.032799,-0.000010,0.026215,-0.000000,0.024136,-0.030794,0.023463,0.024932,0.029231,0.014200,-0.000000,-0.043888,0.026394,0.011173,-0.000000,-0.025036,0.010607
46,0.023800,0.015107,0.024618,-0.000000,-0.012948,-0.000000,-0.010895,0.022969,-0.000000,-0.000000,0.025408,-0.031061,-0.000000,-0.000000,0.028885,-0.048973,0.024793,0.018331,-0.000000,0.007796,0.022579,0.025940,0.008649,0.007872,-0.026597,-0.020533,0.021126,0.028903,0.028613,0.019511,0.024035,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.021993,-0.033881,0.007076,0.024733,-0.000002,0.007055,-0.000006,-0.018794,-0.000000,0.008360,0.024935,-0.000010,0.029149,-0.000000,0.016450,-0.030794,0.022389,0.022497,0.027009,0.011834,-0.000000,-0.043888,0.023594,0.012485,-0.000000,-0.025036,0.013211
47,0.024699,0.014596,0.018809,-0.000000,-0.012948,-0.000000,-0.010895,0.020617,-0.000000,-0.000000,0.024160,-0.031061,-0.000000,-0.000000,0.023674,-0.048973,0.026860,0.015484,-0.000000,0.010684,0.019193,0.021806,0.012542,0.006374,-0.026597,-0.020533,0.022280,0.033593,0.021037,0.021935,0.020300,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.025582,-0.033881,0.010703,0.026844,-0.000002,0.010772,-0.000006,-0.018794,-0.000000,0.014091,0.020969,-0.000010,0.024287,-0.000000,0.024857,-0.030794,0.023806,0.017925,0.025114,0.012091,-0.000000,-0.043888,0.018575,0.011054,-0.000000,-0.025036,0.012633
48,0.021919,0.016752,0.022844,-0.000000,-0.012948,-0.000000,-0.010895,0.028311,-0.000000,-0.000000,0.023718,-0.031061,-0.000000,-0.000000,0.023949,-0.048973,0.024592,0.019172,-0.000000,0.015694,0.018880,0.024603,0.006659,0.014296,-0.026597,-0.020533,0.022221,0.027584,0.018817,0.017829,0.021418,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.022737,-0.033881,0.003836,0.023521,-0.000002,0.013446,-0.000006,-0.018794,-0.000000,0.014766,0.026537,-0.000010,0.023127,-0.000000,0.024896,-0.030794,0.024949,0.017350,0.018619,0.010160,-0.000000,-0.043888,0.026988,0.011368,-0.000000,-0.025036,0.009588
49,0.020154,0.018174,0.021663,-0.000000,-0.012948,-0.000000,-0.010895,0.027328,-0.000000,-0.000000,0.026609,-0.031061,-0.000000,-0.000000,0.024316,-0.048973,0.021501,0.028638,-0.000000,0.007599,0.023768,0.027645,0.003567,0.011964,-0.026597,-0.020533,0.025220,0.026198,0.021354,0.024244,0.022898,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.024262,-0.033881,0.006035,0.025796,-0.000002,0.011011,-0.000006,-0.018794,-0.000000,0.012960,0.027475,-0.000010,0.023140,-0.000000,0.024154,-0.030794,0.022451,0.019289,0.024183,0.012908,-0.000000,-0.043888,0.022911,0.006952,-0.000000,-0.025036,0.011404
50,0.018186,0.024771,0.027900,-0.000000,-0.012948,-0.000000,-0.010895,0.027045,-0.000000,-0.000000,0.022493,-0.031061,-0.000000,-0.000000,0.021494,-0.048973,0.016117,0.027186,-0.000000,0.016158,0.024956,0.020168,0.010296,0.009880,-0.026597,-0.020533,0.022101,0.025739,0.024576,0.020560,0.027044,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.019864,-0.033881,0.006717,0.020087,-0.000002,0.013491,-0.000006,-0.018794,-0.000000,0.011649,0.025904,-0.000010,0.022900,-0.000000,0.018086,-0.030794,0.020702,0.022244,0.017254,0.016628,-0.000000,-0.043888,0.013422,0.006423,-0.000000,-0.025036,0.009786
51,0.021003,0.018130,0.026789,-0.000000,-0.012948,-0.000000,-0.010895,0.025737,-0.000000,-0.000000,0.021384,-0.031061,-0.000000,-0.000000,0.023013,-0.048973,0.022441,0.023972,-0.000000,0.013498,0.022180,0.021996,0.013841,0.015067,-0.026597,-0.020533,0.026610,0.024593,0.027574,0.017865,0.026321,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.029103,-0.033881,0.004166,0.020460,-0.000002,0.008610,-0.000006,-0.018794,-0.000000,0.009123,0.024124,-0.000010,0.020527,-0.000000,0.020205,-0.030794,0.018937,0.018994,0.019597,0.011952,-0.000000,-0.043888,0.017044,0.009874,-0.000000,-0.025036,0.009224
52,0.021602,0.015847,0.022765,-0.000000,-0.012948,-0.000000,-0.010895,0.024630,-0.000000,-0.000000,0.021394,-0.031061,-0.000000,-0.000000,0.025142,-0.048973,0.022223,0.025629,-0.000000,0.013816,0.020145,0.023256,0.012384,0.007027,-0.026597,-0.020533,0.020624,0.021559,0.021729,0.023286,0.028753,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.028485,-0.033881,0.006266,0.026171,-0.000002,0.008645,-0.000006,-0.018794,-0.000000,0.012004,0.025020,-0.000010,0.023497,-0.000000,0.023951,-0.030794,0.022974,0.022777,0.019043,0.014548,-0.000000,-0.043888,0.021843,0.011426,-0.000000,-0.025036,0.014134
53,0.021903,0.023768,0.029024,-0.000000,-0.012948,-0.000000,-0.010895,0.025639,-0.000000,-0.000000,0.025776,-0.031061,-0.000000,-0.000000,0.019958,-0.048973,0.018858,0.020533,-0.000000,0.010936,0.015634,0.023123,0.009798,0.008268,-0.026597,-0.020533,0.018924,0.020182,0.023360,0.019239,0.026307,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.025804,-0.033881,0.003462,0.021174,-0.000002,0.004707,-0.000006,-0.018794,-0.000000,0.010214,0.025975,-0.000010,0.026599,-0.000000,0.025038,-0.030794,0.024023,0.017033,0.022707,0.010639,-0.000000,-0.043888,0.025179,0.013615,-0.000000,-0.025036,0.009330
54,0.025137,0.024792,0.022162,-0.000000,-0.012948,-0.000000,-0.010895,0.027378,-0.000000,-0.000000,0.022834,-0.031061,-0.000000,-0.000000,0.019121,-0.048973,0.019729,0.018723,-0.000000,0.006257,0.016101,0.024820,0.012068,0.009064,-0.026597,-0.020533,0.024388,0.019321,0.014981,0.021197,0.022960,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.024017,-0.033881,0.000118,0.015164,-0.000002,0.004606,-0.000006,-0.018794,-0.000000,0.011674,0.022496,-0.000010,0.022801,-0.000000,0.025785,-0.030794,0.025431,0.020073,0.022892,0.012382,-0.000000,-0.043888,0.022311,0.007351,-0.000000,-0.025036,0.009567
55,0.025866,0.026651,0.021402,-0.000000,-0.012948,-0.000000,-0.010895,0.023662,-0.000000,-0.000000,0.023323,-0.031061,-0.000000,-0.000000,0.023067,-0.048973,0.020645,0.022940,-0.000000,0.007050,0.018107,0.030881,0.010839,0.010807,-0.026597,-0.020533,0.024981,0.019662,0.019062,0.019744,0.024093,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.021860,-0.033881,-0.000012,0.016415,-0.000002,0.007694,-0.000006,-0.018794,-0.000000,0.008192,0.023084,-0.000010,0.020705,-0.000000,0.021589,-0.030794,0.020798,0.024061,0.025475,0.007883,-0.000000,-0.043888,0.018389,0.009001,-0.000000,-0.025036,0.015442
56,0.020898,0.025278,0.022367,-0.000000,-0.012948,-0.000000,-0.010895,0.022421,-0.000000,-0.000000,0.025076,-0.031061,-0.000000,-0.000000,0.024513,-0.048973,0.026977,0.019519,-0.000000,0.008198,0.016133,0.024968,0.007124,0.009522,-0.026597,-0.020533,0.021831,0.018398,0.015511,0.024447,0.019899,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.021699,-0.033881,-0.000012,0.020235,-0.000002,0.010020,-0.000006,-0.018794,-0.000000,0.012935,0.025891,-0.000010,0.020031,-0.000000,0.022381,-0.030794,0.021014,0.020528,0.026628,0.008844,-0.000000,-0.043888,0.019730,0.008654,-0.000000,-0.025036,0.008654
57,0.021297,0.024191,0.017467,-0.000000,-0.012948,-0.000000,-0.010895,0.024995,-0.000000,-0.000000,0.024743,-0.031061,-0.000000,-0.000000,0.020383,-0.048973,0.030774,0.014396,-0.000000,0.008049,0.016919,0.024346,0.009209,0.004765,-0.026597,-0.020533,0.016051,0.016972,0.017596,0.022966,0.019910,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.018925,-0.033881,-0.000012,0.019848,-0.000002,0.010523,-0.000006,-0.018794,-0.000000,0.011546,0.027450,-0.000010,0.022805,-0.000000,0.022342,-0.030794,0.015081,0.023497,0.015106,0.004834,-0.000000,-0.043888,0.020403,0.013517,-0.000000,-0.025036,0.012640
58,0.014824,0.021522,0.022388,-0.000000,-0.012948,-0.000000,-0.010895,0.019546,-0.000000,-0.000000,0.027415,-0.031061,-0.000000,-0.000000,0.020187,-0.048973,0.027396,0.014445,-0.000000,0.008657,0.020208,0.019794,0.009126,0.006774,-0.026597,-0.020533,0.023574,0.022607,0.016714,0.020245,0.025038,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.017892,-0.033881,-0.000012,0.014540,-0.000002,0.008668,-0.000006,-0.018794,-0.000000,0.006302,0.025130,-0.000010,0.022448,-0.000000,0.024383,-0.030794,0.019097,0.019548,0.013782,0.006055,-0.000000,-0.043888,0.016309,0.011164,-0.000000,-0.025036,0.010330
59,0.024118,0.021566,0.025521,-0.000000,-0.012948,-0.000000,-0.010895,0.020460,-0.000000,-0.000000,0.022396,-0.031061,-0.000000,-0.000000,0.026124,-0.048973,0.028301,0.022140,-0.000000,0.004101,0.020593,0.026146,0.004055,0.011443,-0.026597,-0.020533,0.016347,0.016620,0.017079,0.022016,0.019271,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.021269,-0.033881,-0.000012,0.023256,-0.000002,0.010231,-0.000006,-0.018794,-0.000000,0.008304,0.025857,-0.000010,0.022439,-0.000000,0.019292,-0.030794,0.020164,0.017319,0.015833,0.006078,-0.000000,-0.043888,0.013823,0.006517,-0.000000,-0.025036,0.009651
60,0.023296,0.025363,0.023372,-0.000000,-0.012948,-0.000000,-0.010895,0.020855,-0.000000,-0.000000,0.020310,-0.031061,-0.000000,-0.000000,0.024410,-0.048973,0.024480,0.023394,-0.000000,0.008606,0.021629,0.022287,0.008364,0.006262,-0.026597,-0.020533,0.021220,0.013067,0.020525,0.026108,0.020266,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.021288,-0.033881,-0.000012,0.021508,-0.000002,0.008981,-0.000006,-0.018794,-0.000000,0.014000,0.025746,-0.000010,0.025931,-0.000000,0.023674,-0.030794,0.017147,0.015794,0.016222,0.003154,-0.000000,-0.043888,0.012040,0.010308,-0.000000,-0.025036,0.007136
61,0.019527,0.025649,0.024086,-0.000000,-0.012948,-0.000000,-0.010895,0.020823,-0.000000,-0.000000,0.019644,-0.031061,-0.000000,-0.000000,0.022872,-0.048973,0.020462,0.026761,-0.000000,0.011337,0.023892,0.024091,0.005474,0.009344,-0.026597,-0.020533,0.021768,0.016533,0.017687,0.022609,0.017001,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.019243,-0.033881,-0.000012,0.022118,-0.000002,0.010751,-0.000006,-0.018794,-0.000000,0.008549,0.021905,-0.000010,0.018805,-0.000000,0.021420,-0.030794,0.020272,0.022958,0.015780,0.006605,-0.000000,-0.043888,0.019146,0.007149,-0.000000,-0.025036,0.011632
62,0.015331,0.022127,0.024116,-0.000000,-0.012948,-0.000000,-0.010895,0.014422,-0.000000,-0.000000,0.016973,-0.031061,-0.000000,-0.000000,0.015582,-0.048973,0.022698,0.023896,-0.000000,0.006132,0.019428,0.019152,0.007385,0.009518,-0.026597,-0.020533,0.021371,0.011343,0.024105,0.016510,0.018344,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.022291,-0.033881,-0.000012,0.024545,-0.000002,0.006472,-0.000006,-0.018794,-0.000000,0.005725,0.025506,-0.000010,0.019538,-0.000000,0.022343,-0.030794,0.018141,0.024165,0.019268,0.008785,-0.000000,-0.043888,0.018464,0.005060,-0.000000,-0.025036,0.007338
63,0.021761,0.018304,0.023532,-0.000000,-0.012948,-0.000000,-0.010895,0.015459,-0.000000,-0.000000,0.022934,-0.031061,-0.000000,-0.000000,0.017957,-0.048973,0.022119,0.019273,-0.000000,0.008593,0.024165,0.017402,0.011855,0.003896,-0.026597,-0.020533,0.015277,0.017655,0.023119,0.020271,0.014261,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.024254,-0.033881,-0.000012,0.019493,-0.000002,0.013622,-0.000006,-0.018794,-0.000000,0.004844,0.019346,-0.000010,0.016554,-0.000000,0.023717,-0.030794,0.012084,0.016912,0.016532,0.007183,-0.000000,-0.043888,0.024411,0.005451,-0.000000,-0.025036,0.006868
64,0.020319,0.021847,0.022027,-0.000000,-0.012948,-0.000000,-0.010895,0.018893,-0.000000,-0.000000,0.018130,-0.031061,-0.000000,-0.000000,0.017035,-0.048973,0.018636,0.019779,-0.000000,0.011653,0.017205,0.019760,0.010472,0.007389,-0.026597,-0.020533,0.017482,0.015372,0.017100,0.015100,0.020024,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.022298,-0.033881,-0.000012,0.017177,-0.000002,0.009035,-0.000006,-0.018794,-0.000000,0.011667,0.024043,-0.000010,0.022896,-0.000000,0.020370,-0.030794,0.018116,0.023943,0.028460,0.005229,-0.000000,-0.043888,0.017145,0.010237,-0.000000,-0.025036,0.010261
65,0.017599,0.022893,0.021011,-0.000000,-0.012948,-0.000000,-0.010895,0.016562,-0.000000,-0.000000,0.021137,-0.031061,-0.000000,-0.000000,0.018709,-0.048973,0.020523,0.017564,-0.000000,0.007058,0.015126,0.020399,0.009461,0.006438,-0.026597,-0.020533,0.026398,0.013091,0.016794,0.017037,0.019529,-0.000000,-0.019140,-0.000000,-0.019952,-0.029854,-0.041386,0.021422,-0.033881,-0.000012,0.018790,-0.000002,0.008378,-0.000006,-0.018794,-0.000000,0.008591,0.023825,-0.000010,0.023618,-0.000000,0.021647,-0.030794,0.013870,0.017570,0.024753,0.008642,-0.000000,-0.043888,0.017237,0.008181,-0.000000,-0.025036,0.009478
