neuron_index,count,diff_srv_rate,dst_bytes,dst_host_count,dst_host_diff_srv_rate,dst_host_rerror_rate,dst_host_same_src_port_rate,dst_host_same_srv_rate,dst_host_serror_rate,dst_host_srv_count,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,dst_host_srv_serror_rate,duration,flag_OTH,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,hot,is_guest_login_0,is_guest_login_1,is_host_login_0,is_host_login_1,land_0,land_1,logged_in_0,logged_in_1,num_access_files,num_compromised,num_failed_logins,num_file_creations,num_outbound_cmds,num_root,num_shells,protocol_type_icmp,protocol_type_tcp,protocol_type_udp,rerror_rate,root_shell,same_srv_rate,serror_rate,service_IRC,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,src_bytes,srv_count,srv_diff_host_rate,srv_rerror_rate,srv_serror_rate,su_attempted,urgent,wrong_fragment
0,0.0013935442821821197,0.00019463079456244259,5.00814189065352e-10,0.0011288210616976358,0.00036282700315837246,0.0028613904022495263,0.0015739490091800689,0.0015918629246925776,0.0027351382386177647,0.0030960373686684762,4.8984573093093784e-05,0.00018616956539972308,0.0014541036348964553,2.3311115826110672e-06,0.0,0.000609133990360533,6.33230012272179e-05,0.0,5.725868106779331e-05,0.001332081199507229,0.0,0.0,2.6906791026704013e-06,0.0009311408139546984,0.0,6.480377204070464e-05,6.358665042171197e-05,9.211486695448912e-05,0.0,0.0,0.0,0.0,0.0004456040527065852,0.0004743815522942896,2.5911442935466764e-06,3.815373474935768e-09,2.5975208700401708e-06,3.231702861983266e-08,0.0,0.0,0.0,0.000313862486036669,0.0007052065497555305,0.0001977610593621648,0.0008169511253072415,1.2295917529741019e-05,0.0016560201003449038,0.0007338948294636793,0.0,0.0,0.0,0.0,0.0,7.264490485781039e-07,1.3307840242049452e-06,0.0,5.371109021723441e-06,0.0,5.1796314073726535e-06,0.0,6.505731245852075e-05,0.0,4.951101067831587e-05,0.00027497088527070443,1.659822761723717e-06,0.0,0.0,2.579196240787951e-05,0.00023413400447680032,1.895129391868977e-05,0.0,0.0,0.0009178256784753103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75080104757086e-06,1.2534901907201857e-06,0.0,1.1433038267227857e-06,0.0,1.291944904585618e-07,0.0,0.0,0.0,1.5155192071176771e-05,0.0,0.0,0.00034057867063893356,0.0,0.0,3.145056427456438e-05,0.0,0.0029146423190832137,0.0,6.334857898764312e-06,0.0,0.0,0.00024157207492407905,0.0,3.0613705166615546e-06,0.0,5.604702614636636e-07,0.0,0.00020928831374476432,0.0,0.0,9.058775031007827e-06,0.0,0.0,1.2618140222002694e-05,5.067709642148088e-07,0.0,1.2132216216400593e-05,3.887669886406056e-09,0.0002243257584427738,0.0003358946479158931,0.0010941030920184858,0.0009688010966056027,0.0,0.0,0.0
1,0.0014255897456314415,0.0002006665790287343,5.326552869195549e-10,0.0012198143371279003,0.0003912148462109144,0.003004689931694884,0.0016528466842282796,0.0016339839049760484,0.0028386318458797177,0.0034005246973538308,5.034362317090313e-05,0.00019367224925190385,0.0014880740435910412,2.3993347164567856e-06,0.0,0.000651152817217735,6.613651468114767e-05,0.0,5.9604529010570674e-05,0.0013802333443891257,0.0,0.0,2.764388045761734e-06,0.000946198050478415,0.0,7.01698074323076e-05,6.748805928282309e-05,9.750878210638802e-05,0.0,0.0,0.0,0.0,0.00044944738885874355,0.00047788170319563506,2.7692201547324655e-06,4.1204361878044435e-09,2.7060247521148996e-06,3.541526903516612e-08,0.0,0.0,0.0,0.0003326943160209339,0.000744235478923656,0.00021520906925616147,0.0008460173699859297,1.295969675197739e-05,0.0017268154252087697,0.0007493229399551638,0.0,0.0,0.0,0.0,0.0,7.414913676306867e-07,1.3610618427151167e-06,0.0,5.497584413376444e-06,0.0,5.318071926012635e-06,0.0,6.986291852626891e-05,0.0,5.3583110373818245e-05,0.0002882532594458098,1.6980296438973142e-06,0.0,0.0,2.8724112775648793e-05,0.000255619236631901,1.957727508397511e-05,0.0,0.0,0.0009732118362262554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7881928712171201e-06,1.2774032074958085e-06,0.0,1.1704373275733814e-06,0.0,1.334244845274668e-07,0.0,0.0,0.0,1.557621200873882e-05,0.0,0.0,0.00035854525869581265,0.0,0.0,3.316939517389983e-05,0.0,0.0030098765785805883,0.0,6.496093701571226e-06,0.0,0.0,0.00025907701882488254,0.0,3.1693949131295085e-06,0.0,5.738012316047758e-07,0.0,0.00021710159779104288,0.0,0.0,9.159925393760205e-06,0.0,0.0,1.3158670149095998e-05,5.17285525276634e-07,0.0,1.2461632837528213e-05,4.149386741199995e-09,0.00022504539547981038,0.00034317277156560523,0.0011736587256655185,0.0009918533975724131,0.0,0.0,0.0
2,0.0004130064759783636,7.250082713042616e-05,5.044896649436775e-10,0.0016017255154292798,0.00033073189979177187,0.0016356326185632498,0.0010068425467034104,0.000672668559000158,0.0012217985610936922,0.0034529597574146464,2.4256356077501096e-05,0.0001179649554427442,0.00032522332142512764,9.7091694077657e-07,0.0,0.0005097944774388452,3.4287543003301834e-05,0.0,3.675389190902934e-05,0.0005526419515081215,0.0,0.0,1.2799599790014326e-06,0.000250307229690101,0.0,5.823761315923548e-05,5.714624213851494e-05,7.901856740431867e-05,0.0,0.0,0.0,0.0,0.00048618069880831174,0.00046969317915682043,3.2758747693151235e-06,3.857447836708161e-09,3.043370088562369e-06,3.5754572318413834e-08,0.0,0.0,0.0,0.00023620565336553989,0.000541624706784205,0.00027870148431702546,0.00032824079193396474,2.594867718016758e-05,0.0008724749815883115,0.00015114683412007946,0.0,0.0,0.0,0.0,0.0,1.4006167005753413e-07,3.4173531792358603e-07,0.0,1.0874331283616812e-06,0.0,1.172666234197095e-06,0.0,8.215411813580431e-05,0.0,3.9915568698916104e-05,0.00018954725790536032,4.768170448921083e-07,0.0,0.0,2.5824577542081785e-05,0.0002600094339550196,6.971653066329964e-06,0.0,0.0,0.0007359297085031358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4701347458199193e-07,2.2482714484794996e-07,0.0,2.8745123117346336e-07,0.0,6.90667689928759e-08,0.0,0.0,0.0,3.0967392838476824e-06,0.0,0.0,0.00021017514205141197,0.0,0.0,3.82049148902297e-05,0.0,0.0011310526067973114,0.0,1.911020663101226e-06,0.0,0.0,0.00023283532558252774,0.0,7.53428612370044e-07,0.0,1.2738059080197317e-07,0.0,0.00011359061927123548,0.0,0.0,7.943763193907217e-08,0.0,0.0,6.347146920688829e-06,1.2370300134456613e-07,0.0,4.073378511861847e-06,3.3299357938068596e-09,6.978433570703046e-05,0.00011597142980278363,0.0009791674614643853,0.0002360800870316382,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0014396581390974461,0.00020301560882872492,7.647693047076058e-10,0.0014127997596730779,0.0004419396483899618,0.0030999273297948092,0.001757945060635393,0.0016300463704101275,0.002893984613911016,0.0037427767377812417,5.344001584006719e-05,0.00019777630740691165,0.0015035430997727417,2.501019565864307e-06,0.0,0.0006470532737284884,6.700100949615262e-05,0.0,5.903134046860714e-05,0.0013972716010175646,0.0,0.0,2.805461990647018e-06,0.0009441192795929964,0.0,7.042167014617462e-05,6.824376294161993e-05,9.868276756606065e-05,0.0,0.0,0.0,0.0,0.0004582052449677576,0.0004782864823937416,4.292129306122661e-06,4.31351026008997e-09,3.010697037097998e-06,4.510147786351837e-08,0.0,0.0,0.0,0.00032831593012815573,0.0007914048490056302,0.00023876262419378236,0.0008629367862158688,2.4458170150865045e-05,0.0017552252544555814,0.000758172865898814,0.0,0.0,0.0,0.0,0.0,7.455171475179157e-07,1.3642466343100068e-06,0.0,5.577713885998037e-06,0.0,5.352972657419741e-06,0.0,7.96280774375191e-05,0.0,5.097075478829538e-05,0.0002898404756865602,1.702719821778942e-06,0.0,0.0,3.170376165826383e-05,0.0003218955290140002,1.9810310700449918e-05,0.0,0.0,0.0010053961399444234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.795733463740845e-06,1.289728534175083e-06,0.0,1.1771005998184592e-06,0.0,1.363677135746144e-07,0.0,0.0,0.0,1.5913987791691397e-05,0.0,0.0,0.00037679848659536217,0.0,0.0,4.2549066711217166e-05,0.0,0.0030621743225492538,0.0,6.720948149450123e-06,0.0,0.0,0.0003123049163241376,0.0,3.215991018805653e-06,0.0,5.775586517131614e-07,0.0,0.00022945091587644128,0.0,0.0,9.18347155675292e-06,0.0,0.0,1.334988187863928e-05,5.363798054069946e-07,0.0,1.26936546143952e-05,4.272887509358149e-09,0.00022183077637691895,0.0003412092121834576,0.0011937329333022717,0.001003064997785259,0.0,0.0,0.0
6,0.0005461423241831653,9.229363390545587e-05,5.510075636150466e-10,0.0017179125204711454,0.000358660323819322,0.0018530267917412856,0.0011510028602697276,0.0007645625994337024,0.0014583414127923788,0.003718091984919738,2.8084809421429212e-05,0.00012879523436481577,0.00043041071856453784,1.130099892435038e-06,0.0,0.0005637209916403663,3.8214981258875014e-05,0.0,4.100178465964888e-05,0.0006653990581980907,0.0,0.0,1.5159498434513807e-06,0.00032131848712651845,0.0,6.246986613604121e-05,6.179357940482078e-05,8.60417246497036e-05,0.0,0.0,0.0,0.0,0.0004833238753008118,0.0004688833865657216,3.550864057615399e-06,4.110401619072945e-09,3.4426744241500274e-06,3.8540967431943684e-08,0.0,0.0,0.0,0.00027469983095215864,0.000608842401416041,0.0003050331761551206,0.0003940190049209491,2.7715225537576772e-05,0.0010301417867594864,0.00020554137512522884,0.0,0.0,0.0,0.0,0.0,2.129432009034815e-07,4.7240294127393056e-07,0.0,1.5533144254220589e-06,0.0,1.5915131371002644e-06,0.0,9.057551797468477e-05,0.0,4.582158983907902e-05,0.0002151849220570057,5.653934326588228e-07,0.0,0.0,2.8755674118130514e-05,0.0002877367730543412,8.575069469998198e-06,0.0,0.0,0.0007971836715933023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.941942419023348e-07,2.7289755962556226e-07,0.0,3.738872830183482e-07,0.0,7.660002069087568e-08,0.0,0.0,0.0,4.2824395552543135e-06,0.0,0.0,0.00023826620011277555,0.0,0.0,4.2635606369003654e-05,0.0,0.0013694381119057652,0.0,2.2219253878574817e-06,0.0,0.0,0.0002572269413803951,0.0,9.726997814141214e-07,0.0,1.6080006485452713e-07,0.0,0.0001341495144856708,0.0,0.0,2.0617577320081182e-07,0.0,0.0,7.53812793391262e-06,1.5376074610884416e-07,0.0,4.78052767761028e-06,3.635177189455913e-09,7.355135147349756e-05,0.00014374432129216075,0.001066256637850529,0.0003088821086670634,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0013935926778503927,0.00019786058279095187,6.830974657952071e-10,0.0013326287290146865,0.00042706614474809614,0.0030331723225026507,0.0017051945056982731,0.0015864145600744451,0.0028297192681930026,0.0036998126446269454,5.113828011587884e-05,0.00019283032703242497,0.001455060964981385,2.398824380787923e-06,0.0,0.0006533669392956654,6.651172092233537e-05,0.0,5.923424301045088e-05,0.0013685209507821128,0.0,0.0,2.8306557214818894e-06,0.000914980542866033,0.0,7.211668157140138e-05,6.80827966675679e-05,9.814487744961298e-05,0.0,0.0,0.0,0.0,0.0004320200273787123,0.00045537563723883066,4.052187432534993e-06,4.358396097359218e-09,2.7380815299693495e-06,4.496497161832203e-08,0.0,0.0,0.0,0.000331477445542987,0.0007698834342590999,0.00023543676355529896,0.0008401452370890184,2.1618871410282737e-05,0.0017254289583070203,0.0007327209576033055,0.0,0.0,0.0,0.0,0.0,7.217875717024924e-07,1.323991162536231e-06,0.0,5.383415470561204e-06,0.0,5.202151951380074e-06,0.0,7.70457504722799e-05,0.0,5.248892518864068e-05,0.0002875097990499853,1.659211457969434e-06,0.0,0.0,3.084763570967652e-05,0.00030473692295345244,1.946443522683694e-05,0.0,0.0,0.0010033467725293122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7395986264467922e-06,1.244005688931793e-06,0.0,1.1452067033701497e-06,0.0,1.3052002263869157e-07,0.0,0.0,0.0,1.537807989848261e-05,0.0,0.0,0.00036687466787498123,0.0,0.0,3.744908492080867e-05,0.0,0.002977623664191924,0.0,6.5344659378752115e-06,0.0,0.0,0.00029325252794023984,0.0,3.1129186390899124e-06,0.0,5.602225095202584e-07,0.0,0.0002206214222678682,0.0,0.0,8.878327207639813e-06,0.0,0.0,1.3196613640502619e-05,5.189016230744415e-07,0.0,1.2461961131293719e-05,4.275560791542959e-09,0.00021687963221211248,0.0003325019006479124,0.0011975334941416805,0.0009723131865030154,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0013801650801178766,0.00019536352934117928,7.407444863241885e-10,0.001386405661687604,0.000430231654063391,0.002994492040379555,0.0017011770236422309,0.0015617733058752492,0.0027906556023663143,0.003657056306838058,5.137044984763861e-05,0.00019049336733814926,0.0014418393831510912,2.4070154321906985e-06,0.0,0.0006295649375169887,6.467408456614976e-05,0.0,5.7082568392559094e-05,0.001346126353018917,0.0,0.0,2.7004687581211327e-06,0.0009037732039109869,0.0,6.849372374972517e-05,6.638424747734461e-05,9.588666312652095e-05,0.0,0.0,0.0,0.0,0.00044070824186746903,0.0004594254974836076,4.167526494711637e-06,4.201741603537812e-09,2.9569862090284007e-06,4.3841306165415265e-08,0.0,0.0,0.0,0.00031887257584457986,0.0007672295525844675,0.00023516601589903985,0.0008305950828798814,2.3991036216557403e-05,0.0016938610753277317,0.0007265834134886972,0.0,0.0,0.0,0.0,0.0,7.144244202805794e-07,1.3087173794446016e-06,0.0,5.349593233034966e-06,0.0,5.134568200446666e-06,0.0,7.743528780338238e-05,0.0,4.945506167587155e-05,0.00028050512196159616,1.6345793804362075e-06,0.0,0.0,3.0783480713694186e-05,0.00031451387258130126,1.906796529510757e-05,0.0,0.0,0.0009724238886245474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7207646228634132e-06,1.2356616207398475e-06,0.0,1.1297951269284568e-06,0.0,1.314127762697126e-07,0.0,0.0,0.0,1.5259741165323248e-05,0.0,0.0,0.00036463708721839794,0.0,0.0,4.1600208496674896e-05,0.0,0.002947082762257196,0.0,6.458224379457533e-06,0.0,0.0,0.00030311420939142407,0.0,3.08826332911849e-06,0.0,5.538341849842254e-07,0.0,0.00022153547259222252,0.0,0.0,8.761087083257734e-06,0.0,0.0,1.2864965722201305e-05,5.1458444225716e-07,0.0,1.2204319620536808e-05,4.165998470826403e-09,0.0002097992446988428,0.00032710944843529434,0.0011626886480917164,0.0009621840322506614,0.0,0.0,0.0
